input,output
a fish in a tiny fishbowl,when nature attacks but you just wanted to exist
a bird sitting on a traffic light,when you have 37 tasks but decide to take a nap
a laptop with too many tabs open,when the journey is more dangerous than the destination
a kid holding a balloon,when your whole world is kinda small
a stack of pancakes with syrup,when you hide your pain behind dark lenses
a raccoon digging through trash,when you realize sharing is not an option
a robot vacuum stuck under a chair,when you have 37 tasks but decide to take a nap
a bird sitting on a traffic light,when you realize sharing is not an option
a cup of coffee next to a book,when food is free and you are faster than security
a squirrel holding a peanut,when coffee and wisdom go hand in hand
a seagull stealing a french fry,when someone left their mark and disappeared
a baby making a funny face,when geometry and driving don’t mix
a robot vacuum stuck under a chair,when you are late but still gotta flex
a turtle crossing the road,when your whole world is kinda small
a stack of pancakes with syrup,when technology lets you down
a traffic cone in the middle of the road,when life is full of possibilities
a turtle crossing the road,when nature attacks but you just wanted to exist
a seagull stealing a french fry,when you realize sharing is not an option
a dog looking at a pizza,when you hide your pain behind dark lenses
a seagull stealing a french fry,when you have 37 tasks but decide to take a nap
a cat staring at a wall,when food is free and you are faster than security
a person trying to parallel park,when you hide your pain behind dark lenses
a man running with a suitcase,when technology lets you down
a raccoon digging through trash,when coffee and wisdom go hand in hand
a cat staring at a wall,when food is free and you are faster than security
a robot vacuum stuck under a chair,when your whole world is kinda small
a kid holding a balloon,when you have 37 tasks but decide to take a nap
a kid holding a balloon,when you finally get what you wanted
a turtle crossing the road,when you hide your pain behind dark lenses
a baby making a funny face,when someone takes your toy away
a dog looking at a pizza,when you have 37 tasks but decide to take a nap
a robot vacuum stuck under a chair,when life stacks up but you just go with the flow
a man running with a suitcase,when coffee and wisdom go hand in hand
a kid holding a balloon,when someone takes your toy away
a group of people taking a selfie,when you rethink all your life choices
a group of people taking a selfie,when the squad gotta get the perfect angle
a seagull stealing a french fry,when technology lets you down
a turtle crossing the road,when you are late but still gotta flex
a group of people taking a selfie,when someone left their mark and disappeared
a cat staring at a wall,when the journey is more dangerous than the destination
a person trying to parallel park,when someone takes your toy away
a dog looking at a pizza,when life stacks up but you just go with the flow
a laptop with too many tabs open,when food is free and you are faster than security
a person trying to parallel park,when your whole world is kinda small
a dog looking at a pizza,when you rethink all your life choices
a man running with a suitcase,when the squad gotta get the perfect angle
a person trying to parallel park,when you have 37 tasks but decide to take a nap
a person struggling with an umbrella in the wind,when nature attacks but you just wanted to exist
